# Dataset: housing_prices.csv
# Samples: 2000
# Features: 5
# description: Synthetic housing price dataset
#
house_size_sqft,bedrooms,bathrooms,age_years,distance_miles,target
2061.779145478766,4.0,2.7587196235651748,12.994713420471458,14.440336876160114,553307.6170564985
1624.099870374004,3.0,2.299512190961322,46.88596178389928,8.168323671064117,435882.05775488477
1335.5231548233855,2.0,1.547564895947893,3.948813395804669,7.192350132356619,400304.1894078093
2720.8502190722147,6.0,4.0,9.972329553043215,17.605167972537394,682518.5895991997
1673.0779575058928,4.0,2.5183099790811636,56.86592145524955,9.745984659402351,452652.3455658551
2082.9156486747925,4.0,2.9771853276908873,26.268782496610847,2.629149067140981,551186.4123866705
2177.680153931363,5.0,3.5219212800889563,19.56328956768201,3.6206072012352313,584497.3118444511
1647.1081248076587,3.0,2.5109286174528878,3.141849712395347,3.2297519467554685,489780.86301175423
2870.4796797852437,5.0,3.97617361955764,22.006411388085695,8.32542824599049,676206.1117815251
1329.7149432772324,3.0,2.4023639535205863,6.405659242662226,3.749331070358348,466436.3381693247
2156.9751581484625,5.0,3.5388500225791613,11.342483570715451,7.260970589038331,631187.0470174197
2147.6706238259503,5.0,4.0,14.091901703756585,5.611178295236357,619693.1488181464
1967.4472382815113,4.0,2.5409607213770005,14.099675406166726,2.1687836777469824,592184.3509477566
1221.8524320368103,3.0,1.7294067889221685,19.448092219914496,3.5470841796965384,395552.3077775073
2522.4905311180787,5.0,3.367238700029423,16.25742583460125,23.960070582092882,599239.5628075885
2446.106402200758,6.0,4.0,1.06230724004705,6.547391278155081,684028.045040756
1594.6588828452702,4.0,3.2025493202964883,9.16927880248568,6.210817911000014,521785.8975345562
2424.492324323217,5.0,2.857190257797143,16.360626402012866,5.967924571104302,631889.6521340159
2224.9446117804655,4.0,3.396822849563936,5.26450431538785,10.207800278246511,599446.3399455723
1231.632712783335,3.0,2.2893336588535305,5.632552564612251,8.522614559745103,400880.2055758521
1487.6426512571854,3.0,1.7796682957230674,1.9955592536838442,27.549350428810115,356633.1989790248
2682.9688669337474,6.0,4.0,8.135131002901584,18.359458532642307,693157.9933143232
2185.64971108523,5.0,4.0,64.94770111051795,26.97795576411371,556478.9785682275
1661.4182325136244,3.0,2.4298323045918777,5.038792428212198,14.267696982741725,472190.36919632345
1484.9144652964148,4.0,3.32972191876619,11.371267283973852,13.06458919783398,463653.80431339325
1690.7637211307474,3.0,1.8401260111808666,20.394041745426577,3.420382538696466,471591.00755353493
1733.3122820733772,4.0,2.8757984294584786,0.20383780590471157,2.5873523841650874,528416.4171861967
1492.422180422449,3.0,1.9725923308429403,34.60485567018308,2.2828511955912685,476358.6140176419
954.9415325700186,1.0,1.2652740615132954,7.329852283045145,7.541412389371032,327905.104071979
2684.0079718404713,5.0,3.941808853045989,30.50165614072118,15.983735868456472,671496.2700459958
2582.380203566866,4.0,3.8541028766872922,0.5958960937491313,5.065806824841839,662117.0741847907
1236.0467289158844,2.0,1.3597171399748318,2.361452931083867,4.1224095690051605,365818.2511099968
2081.7867773382004,4.0,2.7825977364953087,5.840838036254801,15.101511074305654,550549.1275917675
1458.6570783711402,3.0,2.207152008421455,6.357379335260031,4.15916265442728,509487.2116475456
